code,mode,source_id,source_path_or_url,source_hash,output_path_or_url,output_hash,approved_by,approved_at,approval_batch,reason,apply,review_status
DSUVR00005,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/dsuvr00005/dsuvr00005pl.jpg,34e657a10aec96ebc833e948f81ee1c904e2615aae40ac96369b521b43c7db8e,/card-thumbnails/DSUVR00005-auto-right.jpg,4186890cfc59ab6b4ad7a0d93ad02f750859ca499bfbe7cc8bcafb51dc31b316,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
RLMP00012,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/rlmp00012/rlmp00012pl.jpg,252fb0c3a2ea6fcb6cc72149a42127628e523ae84cf381b8d82cbfa5bf83459b,/card-thumbnails/RLMP00012-auto-right.jpg,d999e2989ac8529198007820b29f52d33ff7d633a872abf34ed0974bb4c8fb29,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
KDMI00009AI,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/kdmi00009ai/kdmi00009aipl.jpg,60ed1633c8bc321603990a625226a6db1cd0c8b340051b949953fa6868642709,/card-thumbnails/KDMI00009AI-auto-right.jpg,59c78fdb2cecdfd01e54bcbc057e18bd13bcdeddcff19bd64b2a9974d342d68c,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
ALDN00607,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/aldn00607/aldn00607pl.jpg,b53f1773bb217f78a561c94c43b71e2ec2d2294c8f244aea5f7fc500b5b7ae9a,/card-thumbnails/ALDN00607-auto-right.jpg,d03e5375e988f8d9ac8f42eb7649190ee90977a1247e5273645c51db391c2cba,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
CADV00954,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/cadv00954/cadv00954pl.jpg,084536f75990f3507eecd72cba5287c5d4b50e617800b72b7026dfd17e62e48e,/card-thumbnails/CADV00954-auto-right.jpg,d7dae2997bedcfda8457ec47c1815dc6a6a5f0ef2743f3078fc69b3e3d4c7347,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
JUR00822,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/jur00822/jur00822pl.jpg,3ad11f9e0aeba91b9e9564e36be0603e910aae340b4610627f8fe764063911c9,/card-thumbnails/JUR00822-auto-right.jpg,055928d0ad189318aeab04763368bdcd0d96934c211029c5b98ddf9be32b9e35,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
MKMP00749,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/mkmp00749/mkmp00749pl.jpg,b17f26c9da7db21dd33cab2c8161cceec148ac3b1dc5d459204e5a296b4c429e,/card-thumbnails/MKMP00749-auto-right.jpg,57e323e3c6c8740685d0ffa91111317ad93f49bd24ecce58bfec632857ed2d87,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
MIVE00001,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/mive00001/mive00001pl.jpg,06697fc2d0ea626cf564b2bf6630a59a69e3ded329a8c2f1214246b0ca7d0904,/card-thumbnails/MIVE00001-auto-right.jpg,4cc96f17d407cfdb9829cf717eb7d06d35d30c8ee2a4ea89ec249a71a3445b8b,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
NSFS00506,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/nsfs00506/nsfs00506pl.jpg,f0515df61d9ff18f2c3f1965b0c865a6613ece8b3fe676da5a10376658a05e8e,/card-thumbnails/NSFS00506-auto-right.jpg,3ff2cbc134f309f600de590a24aa626003db3c1e925a0365d7ae28bbf3fad88e,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
H_068MXGS01441,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/h_068mxgs01441/h_068mxgs01441pl.jpg,a6c01f311e0b4b63209700d74d66acacf683234712b3ecbc6798c1cbeb4311ab,/card-thumbnails/H_068MXGS01441-auto-right.jpg,210a1750707c5223eb4961c0f48662ba2c7612172f56f19e33c4efcb69fcd891,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
FCSS00015,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/fcss00015/fcss00015pl.jpg,05aab7ffa88524614b8817b64973663036678f89e7a55e61b2fce1175636a691,/card-thumbnails/FCSS00015-auto-center.jpg,3dc34bfdea760f82d14e336d87b05826d4de294b0d79b64efe23d83e46c949a7,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
OFJE00654,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/ofje00654/ofje00654pl.jpg,c33a552680a4369837c9188baa1ae4301f9a9ae64ba08b6f7c4004a1d5baf6ef,/card-thumbnails/OFJE00654-auto-center.jpg,56a2877b15109f82b5a2bcfb0c4df6b7bbc4e66b9cda7f7de17f4a5872891937,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
125UMD01014,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/125umd01014/125umd01014pl.jpg,d605884f90deb1bfe110b9a047aded11bda8b61ca36709aa8928f62ebacc9d9d,/card-thumbnails/125UMD01014-auto-center.jpg,fdb9c6c77981ba223c3ac46d8b23749febac533e5b28289c8300a9c71da394f1,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
13DSVR02006,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/13dsvr02006/13dsvr02006pl.jpg,5b5681c96c8eced8b9d6ad1f18dc852324878f0dbc086534abe98995a3f7335f,/card-thumbnails/13DSVR02006-auto-center.jpg,cc0499fccefa999a74ce7dc976f5bd3aedd05ad3d413f526b4725ca2eb60fcde,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1FNS00237,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/1fns00237/1fns00237pl.jpg,22a3a99c71037cc851e58426afca030cdd3236c8876054f82cecafb79e4f57dc,/card-thumbnails/1FNS00237-auto-center.jpg,468ac3037802f22d048a282f5d1d9229c57cf497d8d799bdc45349fa799b88f8,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
15AKND00002AI,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/15aknd00002ai/15aknd00002aipl.jpg,4c40c0f5931c1ba78f4c575a0ac414049bc545961d4b4f19413c22715e43eb24,/card-thumbnails/15AKND00002AI-auto-center.jpg,1c1941337fb3645bb67cc7cf70b12bb5b7b6dea9946527ef9ec392910d7e89dd,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
172RWRK00165AI,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/172rwrk00165ai/172rwrk00165aipl.jpg,ea4e2a0e9fb475a5606b0e9698515a72a7a5f6fa72feb4682e80fe1c2cd3f715,/card-thumbnails/172RWRK00165AI-auto-center.jpg,8235978290696d87bf736be8df844fbac83a3c81a566cea9412a7fb923ec67c2,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1DLDSS00507,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/1dldss00507/1dldss00507pl.jpg,16c8797b14e2ca7392c54437b217bc7ddd628c623acbec5e4e71f3f1facc38ad,/card-thumbnails/1DLDSS00507-auto-center.jpg,e25a75d74f05ae75f577573cb921fcb41ec397cdfa68f59c270cf189f82815f8,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1IENFA40401,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/1ienfa40401/1ienfa40401pl.jpg,4e605335af965feaa7a742c0a3beb8b6d49f1cc1b4be8be7481d0f9aa13bb400,/card-thumbnails/1IENFA40401-auto-center.jpg,dbb3d02fc4861fbd2a00e6441282424da20ebb02d6697c9179843074613c7268,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1MGNL00180,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/1mgnl00180/1mgnl00180pl.jpg,bee86a09523c83b9a080653fe6d1b2ae4f5385711202a689270ba957f23f9a0c,/card-thumbnails/1MGNL00180-auto-center.jpg,435b3abba120a5d6e2aa77a484b17c20bfd70fe27330a8ae13f72070a1890519,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1MIST00526,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/1mist00526/1mist00526pl.jpg,4e8b9885d0cf70d7f572a0861d422f84a2ae08027cf94227120522e5321df9bf,/card-thumbnails/1MIST00526-auto-center.jpg,1f9783feed8f6e3d9ee56585e778cbec7635aa786b7437adf5b4f75ef875fb6b,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1MIST52801,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/1mist52801/1mist52801pl.jpg,19082da71813b6439d1aaac6c3f11a4fd343cd6d21f62d67d7ed46f3e3fe6d8a,/card-thumbnails/1MIST52801-auto-center.jpg,20f2041910d15a564fa9477ef2c00cc2b1a047d0afdd0b4aab5172e76806fe0a,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1NSBB00036,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/1nsbb00036/1nsbb00036pl.jpg,d0ad3f816745df8f4ff4000439bca9b85aaac58ca5e3805b198af5c37309acf8,/card-thumbnails/1NSBB00036-auto-center.jpg,cb62dc4da4015dc90fc259ad6a42a8246f3c0d6974b425a6e73bcbee9866f2f9,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
2DFDM00077,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/2dfdm00077/2dfdm00077pl.jpg,651411e6ddeb93d0fc76c2544fd5636173514586ca3c16d6dcbf3963fe4b1845,/card-thumbnails/2DFDM00077-auto-center.jpg,d547268d5adca38dfe1577ec418aea05cc342f3664eace6592ccad4abf8bf272,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
H_1240MILK00302,PACKAGE_CENTER,dvd:center,https://pics.dmm.co.jp/digital/video/h_1240milk00302/h_1240milk00302pl.jpg,e4c04663d3e824ca37272bedf60ec293c61686ac1386cb95ed57e6f712827c15,/card-thumbnails/H_1240MILK00302-auto-center.jpg,5dead748bdaae9994b19d4324b410a2f6baf4904370a49a68878d6783916c350,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1SDCA00014AI,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/1sdca00014ai/1sdca00014aipl.jpg,dc0b2d3b847b44d8a0a481e79288ecab25fd254887f781d0356e2b522f201111,https://pics.dmm.co.jp/digital/video/1sdca00014ai/1sdca00014aipl.jpg,dc0b2d3b847b44d8a0a481e79288ecab25fd254887f781d0356e2b522f201111,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1NPH00249,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/1nph00249/1nph00249pl.jpg,61bcfe0e8abdf1394696f5b534daa55bae6ea8fdd85edbf7592945ab0343c1b0,https://pics.dmm.co.jp/digital/video/1nph00249/1nph00249pl.jpg,61bcfe0e8abdf1394696f5b534daa55bae6ea8fdd85edbf7592945ab0343c1b0,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
1IENEE65102,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/1ienee65102/1ienee65102pl.jpg,23abb5d9dfea543cddd6f7d945a83c7aa52f392f6dfbf6e9143d862671e10a0c,https://pics.dmm.co.jp/digital/video/1ienee65102/1ienee65102pl.jpg,23abb5d9dfea543cddd6f7d945a83c7aa52f392f6dfbf6e9143d862671e10a0c,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
H_1834TK00141,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/h_1834tk00141/h_1834tk00141pl.jpg,c3a9d6f9f9ce2e5d294fe10a949c4c7cd88a9524a4a1100a53c9bb24447e4be4,https://pics.dmm.co.jp/digital/video/h_1834tk00141/h_1834tk00141pl.jpg,c3a9d6f9f9ce2e5d294fe10a949c4c7cd88a9524a4a1100a53c9bb24447e4be4,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
H_1834TK00143,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/h_1834tk00143/h_1834tk00143pl.jpg,ca15313a2201906027cb02a16c3ef0a6c10dc5806d6367c2139eb236f09b6bc4,https://pics.dmm.co.jp/digital/video/h_1834tk00143/h_1834tk00143pl.jpg,ca15313a2201906027cb02a16c3ef0a6c10dc5806d6367c2139eb236f09b6bc4,owner_delegated_via_chatgpt,2026-08-19T06:43:13Z,phase5f-canary-30,Phase 5F visual calibration candidate clearly matches visual truth; owner delegated proxy approval via ChatGPT; SAMPLE is excluded; this is not an auto-safe classification.,true,HUMAN_APPROVED
48ODVHJ00080,PACKAGE_RIGHT,dvd:right,https://pics.dmm.co.jp/digital/video/48odvhj00080/48odvhj00080pl.jpg,fb1a03865b535dc8334dc8fde58210d43d6c465dfca871870d2fca8a659e31ce,/card-thumbnails/48ODVHJ00080-auto-right.jpg,8126ac0ab36890a10102f8d2ead8eb0da3bbe95a0cc2938a4c628f94d30540e0,owner_delegated_via_chatgpt,2026-08-19T10:30:00Z,phase5f-review-batch-02,"PACKAGE_RIGHT cleanly isolates the natural front surface; the primary subject and identifying text remain legible, while FULL is too small and CENTER mixes package surfaces; owner delegated proxy approval via ChatGPT; this is not an auto-safe classification.",true,HUMAN_APPROVED
